sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
334	465.19	1681	179.85	174.1	69
335	531.79	1529	167.38	159.48	69
336	600.13	1802	169.12	184.48	108
337	786.32	1653	169.29	149.32	78
338	1467.16	1506	172.26	172.72	97
339	423.49	1369	168.86	146	67
340	1265.04	1349	176.04	160.58	62
341	559.32	1384	179.44	148.9	72
342	891.01	1606	167.8	163.8	78
343	1479.98	1545	172.59	167.6	71
344	2142	1854	178.76	160.45	68
345	651.87	1297	169.53	154.41	88
346	505.29	1706	175.17	151.27	89
347	618.39	1477	167.15	170.83	71
348	459.37	1569	161	171.71	74
349	288.31	1594	169.79	152.07	80
350	1259.46	1436	178.21	160.17	75
351	2295.08	1823	170.83	157.66	109
352	1302.97	1644	180.74	169.32	70
353	1319.04	1566	172.35	139.91	56
354	708.83	1575	168.3	169.19	97
355	418.76	1598	176.05	155.88	60
356	1075.96	1570	196.33	156.81	73
357	368.33	1617	175.06	162.94	77
358	603.89	1740	172.66	152.7	91
359	2184.71	1430	173.76	167.92	86
360	824.75	1538	172.92	152.03	79
361	736.55	1472	166.7	168.14	120
362	805.84	1647	162.79	161.21	109.5
363	627.78	1517	172.85	148.25	72
364	865.76	1507	173.76	133.05	76
365	968.52	1697	173.06	174.38	76
366	526.38	1611	169.83	176.07	72
367	493.78	1397	173.07	177.26	2
368	1062.05	1437	169.7	144.7	72
369	466.31	1603	174.87	174.92	74
370	777.43	1547	166.27	142.9	94
371	731.5	1569	165.76	168	72
372	1136.26	1568	175.86	164.23	140
373	1196.1	1576	168.27	149.35	68
374	792.7	1668	174.97	165.32	107
375	812.29	1625	169.3	157.45	91
376	1466.38	1771	177.12	173.56	80
377	1002.23	1771	175.53	162.04	72
378	749.62	1584	178.29	158.64	72
379	659.15	1911	172.68	159.74	87
380	680.58	2057	177.33	169.16	76
381	701.27	1685	174.53	160.96	75
382	1085.16	1619	171.65	156.38	74
383	957.8	1406	173.15	167.64	97
384	1372.2	1396	179.28	142.81	72
385	738.26	1819	171.7	150.54	108
386	626.62	1538	172.52	145.76	88
387	788.81	1676	186.63	174.07	69
